category,dataset_id,accession,repository,platform,organism,tissue_stage,perturbation,role_in_project,availability,notes
seed_atlas,Gehring_dev_2026,GSE295007,GEO,snRNA-seq (10x),Arabidopsis thaliana,developing seed 3/5/7 DAP (embryo/endosperm/seed coat),none (developmental),Phase2 reference: embryo/endosperm/seed-coat cell-type marker panels,public,"Nat Plants 2026 DOI 10.1038/s41477-026-02295-8; developmental NOT dry/germinating; multiple replicates per DAP; refines endosperm states + new seed-coat cell types + SSPs"
seed_atlas,Germination_2024,E-MTAB-12532,ArrayExpress,scRNA-seq,Arabidopsis thaliana,germinating embryo (12/24/48 hsl),germination time course,Phase2 reference: dry->germinating STATE axis (primary decoder target),public,"Nat Plants 2024 DOI 10.1038/s41477-024-01771-3 (Liew/Lewsey/Bassel); ArrayExpress Files = annotations only (cells/genes/meta/genotypes, NO matrix); use GEO mirror GSE182331 for the matrix; meta.tsv has per-cell cluster(1-15)+time"
seed_atlas,Germination_2023_GEOmirror,GSE182331,GEO,scRNA-seq,Arabidopsis thaliana,germinating embryo 12/24/48 hsl (12798 cells x 13501 genes; 15 clusters),germination time course,Phase2 PRIMARY germination matrix source (Python-friendly),public,"GEO mirror of E-MTAB-12532; GSE182331_expression_mat.csv.gz (17MB, genes x cells, AGI IDs) + kept_barcode + tsne + bulk_controls_counts; join to ArrayExpress meta.tsv for cluster+time; NOTE earliest tp=12hsl so truly DRY/0h state is under-sampled (use bulk controls or supplement for dry end)"
seed_atlas_support,Germination_bulk_controls,E-MTAB-12521,ArrayExpress,bulk RNA-seq,Arabidopsis thaliana,germinating embryo,protoplasting controls,Phase2 QC: protoplasting artifact control,public,companion to E-MTAB-12532
seed_atlas_support,Germination_TF_mutants,E-MTAB-13449,ArrayExpress,bulk RNA-seq,Arabidopsis thaliana,germinating embryo,TF mutants,Phase3 validation: TF perturbation ground truth,public,companion to E-MTAB-12532
seed_atlas_related,Gehring_seed_2021,GSE157145,GEO,snRNA-seq,Arabidopsis thaliana,seed (imprinting/cell types),none,optional cross-ref for seed cell-type markers,public,Nat Plants 2021 imprinting/single-nucleus; predecessor to GSE295007
seed_atlas_related,SeedToSeed_2023,n/a (bioRxiv 2023.03.23.533992),bioRxiv,snRNA-seq,Arabidopsis thaliana,seed-to-seed life cycle,none,optional broader life-cycle context,preprint,check for deposited accession before use
seed_atlas_related,LifeCycle_atlas_2025,n/a,Nature Plants 2025 (s41477-025-02072-z),scRNA + spatial,Arabidopsis thaliana,whole life cycle,none,optional broader life-cycle context,public,Salk life-cycle atlas; resolve accession if used
nmf_genomewide,Maffei_NNMF_2022,NOT DEPOSITED,journal supplement only,microarray (Agilent 4x44K 2-color),Arabidopsis thaliana,root + shoot seedling 10min-96h,near-null magnetic field (NNMF vs GMF),Phase1 primary NMF signal,LIMITED,"Parmagnani/Mannino/Maffei Biomolecules 2022 DOI 10.3390/biom12121824 (PMC9775259); CONFIRMED data-availability = 'supplementary tables + upon request' -> NO GEO/ArrayExpress deposit; only 194-gene oxidative supplement public (already in Biomni repo); full array needs author request"
nmf_genomewide,Maffei_doseresponse_2021,NOT DEPOSITED,journal supplement only,microarray (Agilent 2-color),Arabidopsis thaliana,root + shoot seedling time-course,MAGNETIC DOSE-RESPONSE 240nT/40nT(near-null) -> 41uT(GMF) -> 60uT,Phase1 NNMF panel-tier (supp DEGs localized) + best author-request target,PARTIAL,"Agliassa/Maffei 'Differential root and shoot magnetoresponses' Sci Rep 2021 s41598-021-88695-6 (PMC8080623); raw array NOT deposited; but public supplementary S7 (MOESM2.xlsx) per-timepoint NNMF DEG lists PULLED + localized via scripts/25 (2499 genes -> cotyledon mesophyll/hypocotyl cortex; radicle signal is 2022-oxidative-specific); full genome-wide array still pending Maffei reply (request sent)"
nmf_crossspecies,Hypomagnetic_neuroblastoma_2014,resolve accession,Science China Life Sci 2014,microarray,Homo sapiens (neuroblastoma cells),cultured cells,hypomagnetic field,optional cross-species hypomagnetic comparator,public?,"doi 10.1007/s11427-014-4644-z; hypomagnetic-field transcriptome in human cells; only for cross-kingdom hypomagnetic-response context, not Arabidopsis core"
nmf_qpcr_only,GMF_root_mineral_2018,none,n/a,ionomics + qPCR,Arabidopsis thaliana,root/shoot,reduced GMF to NNMF,literature support only,qPCR/ICP-only,"Narayana/Maffei 2018 (ScienceDirect S2214552418300671); root mineral nutrition (ICP elemental) + targeted gene expression; NOT genome-wide -> literature support, not a meta dataset"
nmf_comparator,Paul_Ferl_callus_2012,GSE29787,GEO,microarray,Arabidopsis thaliana,callus (MM2d),strong-gradient magnet + altered g,Phase1 magnetic comparator (HIGH-field NOT null),public,"high-gradient superconducting magnet (0.1g-2g via Mag) = opposite perturbation to NMF; include only as labeled contrast, per exclusion rule"
nmf_comparator,Jin_SMF_root_2019,PRJNA529956 (SRA; no GEO series),SRA/BioProject,RNA-seq,Arabidopsis thaliana,seedling root + shoot,600 mT static magnetic field (N0/N180 orientations),Phase1 magnetic comparator (HIGH static field NOT null) + auxin/polyphenol overlap,public (raw reads),"Jin et al Sci Rep 2019 9:14384 DOI 10.1038/s41598-019-50970-y; RARE public genome-wide magnetic transcriptome; root growth via auxin (PIN3/AUX1), nitrate transport, cell wall, flavonoid biosynthesis -> overlaps repo vascular/auxin/polyphenol findings; VERIFY N0 vs N180 = orientation not null (both 600 mT) before use; raw FASTQ only -> needs reprocessing to DE"
nmf_excluded,UltraHigh_33T_dryseed_PRJEB65433,PRJEB65433,ENA/BioProject,WGS genomic (NOT transcriptome),Arabidopsis thaliana,DRIED SEEDS,ultra-high static magnetic field 24.5/30.5/33 Tesla,EXCLUDED - not transcriptomic (context only),public,"VERIFIED 2026-06-26: library_strategy=WGS, 48x coverage, mutagenicity/DNA-stability study -> NOT usable in transcriptome decoder; relevant only as magnetic-genotoxicity-on-dry-seed context"
search_status,COMPREHENSIVE_SWEEP_2026-06-26,n/a,GEO+SRA+BioProject+ArrayExpress,n/a,Arabidopsis thaliana,n/a,null/hypomagnetic field,SEARCH COMPLETENESS RECORD,n/a,"Swept GEO(gds)/SRA/BioProject/ArrayExpress with terms: near-null, hypomagnetic, geomagnetic, magnetic field exposure, magnetoreception, weak magnetic field. RESULT: ZERO deposited null/hypomagnetic Arabidopsis transcriptomes. All deposited magnetic-FIELD Arabidopsis datasets are HIGH-field: GSE29787 (callus 10-16.5T), PRJNA529956 (Jin SMF 600mT), PRJEB65433 (33T dry seed). 'magnetic' keyword in GEO/SRA dominated by magnetic-bead RNA prep noise. Null-field genome-wide = ONLY the 2 undeposited Maffei arrays + 194-gene supplement."
nmf_qpcr_only,GMF_flowering_2018,none,n/a,qPCR,Arabidopsis thaliana,seedling/whole plant,reduced GMF,literature support only,qPCR-only,Bioelectromagnetics 2018; flowering delay; not usable for genome-wide meta
nmf_qpcr_only,GMF_lipid_nutrient,none,n/a,qPCR,Arabidopsis thaliana,root/shoot,reduced GMF,literature support only,qPCR-only,lipid/nutrient hypomagnetic studies; targeted qPCR only
bridge_input,OSD-120,OSD-120,NASA OSDR,RNA-seq,Arabidopsis thaliana,root tip (dark/light),spaceflight microgravity,Phase3 bridge input (adult/vegetative),public,already characterized in Biomni repo
bridge_input,OSD-678,OSD-678,NASA OSDR,RNA-seq,Arabidopsis thaliana,leaf (dark/light),spaceflight microgravity,Phase3 bridge input (adult/vegetative),public,already characterized in Biomni repo
bridge_input,OSD-658,OSD-658,NASA OSDR,RNA-seq,Arabidopsis thaliana,whole seedling 40/80 cGy,galactic cosmic radiation,Phase3 bridge input (whole-seedling),public,already characterized in Biomni repo
perturbation_radiation,OSD-498,OSD-498 (GLDS-498),NASA OSDR,RNA-seq,Arabidopsis thaliana,seedling (WT) time-course,100 Gy Co-60 gamma (acute),decoder contrast: radiation_acute,public,"from radiation_and_ros_cleaned.csv; WT irradiated-vs-control 90+1440 min"
perturbation_radiation,OSD-502,OSD-502 (GLDS-502),NASA OSDR,RNA-seq,Arabidopsis thaliana,seedling WT+myb3r1,100 Gy Co-60 gamma 180min,decoder contrast: radiation_acute (WT),public,"myb3r1 DNA-damage-TF mutant available for mechanistic follow-up"
perturbation_radiation,OSD-508,OSD-508 (GLDS-508),NASA OSDR,RNA-seq,Arabidopsis thaliana,seedling WT+sog1-1 time-course,100 Gy Co-60 gamma (acute),decoder contrast: radiation_acute (WT 90+1440min),public,"sog1-1 DNA-damage master-TF mutant available for mechanistic follow-up"
perturbation_radiation,OSD-510,OSD-510 (GLDS-510),NASA OSDR,RNA-seq,Arabidopsis thaliana,seedling WT+sog1-1 time-course,100 Gy Co-60 gamma (acute),decoder contrast: radiation_acute (WT 90+1440min),public,"sog1-1 mutant available; replicate/companion of OSD-508"
perturbation_radiation,OSD-782,OSD-782 (GLDS-679),NASA OSDR,RNA-seq,Arabidopsis thaliana,seedling WT dose-response,Cs-137 gamma 10 & 100 cGy (low dose) 1-72h,decoder contrast: radiation_lowdose,public,"dose-response 0/0.1/1.0 Gy; WT irradiated-vs-control 10+100 cGy at 24h"
perturbation_low_oxygen,GSE315308_hypoxia_anoxia,GSE315308,GEO,RNA-seq (FPKM),Arabidopsis thaliana,seedling O2 gradient,hypoxia (1% O2) + anoxia (0% O2) vs normoxia (21%),decoder contrasts: low_oxygen (hypoxia_1pct + anoxia_0pct),public,"O2-dose design (HIFRAP line); Entrez gene_id -> mapped to TAIR via entrez_to_tair.csv (~58% = protein-coding); FPKM mean-ratio signature; CAVEAT translatome/transgenic line"
perturbation_low_oxygen,GSE182724_submergence,GSE182724,GEO,RNA-seq,Arabidopsis thaliana,Col-0 seedling,submergence vs air,decoder contrast: low_oxygen (submergence),public,"'Sub vs. Air' sheet has AGI Gene ID + ready Log2 fold change (27655 genes); used directly"
reference_map,entrez_to_tair,derived,local,n/a,Arabidopsis thaliana,n/a,n/a,ID-mapping helper (Entrez->TAIR) for GEO datasets,derived,"built from GLDS-120 DGE ENTREZID+TAIR cols (strip .0); reusable for future GEO pulls"
perturbation_tropism,GSE199142_gravitropism,GSE199142,GEO,RNA-seq (raw counts),Arabidopsis thaliana,Col-0 root gravistimulation time-course,gravitropism (lateral-root induction by gravistimulation) 12h & 24h vs Ref,decoder contrasts: tropism_gravi,public,"genes AGI|Entrez|Symbol; Col-0 WT timepoints vs Ref; gravitropism_12h -> radicle apical meristem +1.54 (fits radicle convergence)"
REJECTED,OSD-758_GLDS-664,OSD-758,NASA OSDR,RNA-seq,MOUSE (Mus musculus),rodent artificial-gravity centrifuge,0/0.33/0.66/1G,EXCLUDED - wrong organism,public,"GLDS-664 ENSEMBL=ENSMUSG (mouse RR/MHU study); NOT Arabidopsis; do not use. Plant fractional-g = EMCS centrifuge study (source separately if wanted)"
